Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
396,Exit short,2026-01-06 01:38,Exit Short,48978.8,1,48986.8,8,0.02,8,0.02,-3.4,-0.01,-188,-7.52
396,Entry short,2026-01-06 01:36,Short,48986.8,1,48986.8,8,0.02,8,0.02,-3.4,-0.01,-188,-7.52
397,Exit short,2026-01-06 01:59,Exit Short,48991.2,1,48999.2,8,0.02,8,0.02,-3.1,-0.01,-180,-7.20
397,Entry short,2026-01-06 01:50,Short,48999.2,1,48999.2,8,0.02,8,0.02,-3.1,-0.01,-180,-7.20
398,Exit short,2026-01-06 03:09,Exit Short,48987.8,1,48995.8,8,0.02,8,0.02,-2.6,-0.01,-172,-6.88
398,Entry short,2026-01-06 02:52,Short,48995.8,1,48995.8,8,0.02,8,0.02,-2.6,-0.01,-172,-6.88
399,Exit long,2026-01-06 04:01,Exit Long,48999.5,1,48991.5,8,0.02,8,0.02,-0.1,0.00,-164,-6.56
399,Entry long,2026-01-06 03:56,Long,48991.5,1,48991.5,8,0.02,8,0.02,-0.1,0.00,-164,-6.56
400,Exit short,2026-01-06 04:30,Exit Short,48994,1,49002,8,0.02,8,0.02,-7.3,-0.01,-156,-6.24
400,Entry short,2026-01-06 04:04,Short,49002,1,49002,8,0.02,8,0.02,-7.3,-0.01,-156,-6.24
401,Exit long,2026-01-06 05:44,Exit Long,48978.7,1,48986.7,-8,-0.02,4.1,0.01,-8,-0.02,-164,-6.56
401,Entry long,2026-01-06 04:45,Long,48986.7,1,48986.7,-8,-0.02,4.1,0.01,-8,-0.02,-164,-6.56
402,Exit long,2026-01-06 05:58,Exit Long,48971.6,1,48979.6,-8,-0.02,6.3,0.01,-8,-0.02,-172,-6.88
402,Entry long,2026-01-06 05:46,Long,48979.6,1,48979.6,-8,-0.02,6.3,0.01,-8,-0.02,-172,-6.88
403,Exit long,2026-01-06 06:16,Exit Long,48980.3,1,48972.3,8,0.02,8,0.02,-6.9,-0.01,-164,-6.56
403,Entry long,2026-01-06 06:04,Long,48972.3,1,48972.3,8,0.02,8,0.02,-6.9,-0.01,-164,-6.56
404,Exit short,2026-01-06 06:36,Exit Short,49002.5,1,48994.5,-8,-0.02,0.3,0.00,-8,-0.02,-172,-6.88
404,Entry short,2026-01-06 06:35,Short,48994.5,1,48994.5,-8,-0.02,0.3,0.00,-8,-0.02,-172,-6.88
405,Exit short,2026-01-06 06:45,Exit Short,49010.4,1,49002.4,-8,-0.02,0,0.00,-8,-0.02,-180,-7.20
405,Entry short,2026-01-06 06:42,Short,49002.4,1,49002.4,-8,-0.02,0,0.00,-8,-0.02,-180,-7.20
406,Exit short,2026-01-06 06:47,Exit Short,48998.2,1,49006.2,8,0.02,8,0.02,0,0.00,-172,-6.88
406,Entry short,2026-01-06 06:46,Short,49006.2,1,49006.2,8,0.02,8,0.02,0,0.00,-172,-6.88
407,Exit long,2026-01-06 07:34,Exit Long,48983.6,1,48975.6,8,0.02,8,0.02,-2.8,-0.01,-164,-6.56
407,Entry long,2026-01-06 07:22,Long,48975.6,1,48975.6,8,0.02,8,0.02,-2.8,-0.01,-164,-6.56
408,Exit long,2026-01-06 07:46,Exit Long,48965.8,1,48973.8,-8,-0.02,0,0.00,-8.2,-0.02,-172,-6.88
408,Entry long,2026-01-06 07:45,Long,48973.8,1,48973.8,-8,-0.02,0,0.00,-8.2,-0.02,-172,-6.88
409,Exit long,2026-01-06 08:01,Exit Long,48958.7,1,48966.7,-8,-0.02,7.4,0.02,-8,-0.02,-180,-7.20
409,Entry long,2026-01-06 07:49,Long,48966.7,1,48966.7,-8,-0.02,7.4,0.02,-8,-0.02,-180,-7.20
410,Exit long,2026-01-06 08:08,Exit Long,48935.8,1,48943.8,-8,-0.02,11.1,0.02,-8,-0.02,-188,-7.52
410,Entry long,2026-01-06 08:06,Long,48943.8,1,48943.8,-8,-0.02,11.1,0.02,-8,-0.02,-188,-7.52
411,Exit long,2026-01-06 08:22,Exit Long,48895,1,48903,-8,-0.02,8,0.02,-8,-0.02,-196,-7.84
411,Entry long,2026-01-06 08:18,Long,48903,1,48903,-8,-0.02,8,0.02,-8,-0.02,-196,-7.84
412,Exit long,2026-01-06 08:26,Exit Long,48884.2,1,48892.2,-8,-0.02,2.8,0.01,-8,-0.02,-204,-8.16
412,Entry long,2026-01-06 08:24,Long,48892.2,1,48892.2,-8,-0.02,2.8,0.01,-8,-0.02,-204,-8.16
413,Exit long,2026-01-06 08:29,Exit Long,48881.4,1,48889.4,-8,-0.02,4.3,0.01,-8,-0.02,-212,-8.48
413,Entry long,2026-01-06 08:27,Long,48889.4,1,48889.4,-8,-0.02,4.3,0.01,-8,-0.02,-212,-8.48
