Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
95,Exit short,2025-12-30 16:21,Exit Short,9951,1,9952.2,1.2,0.01,1.5,0.02,-2,-0.02,43.5,1.74
95,Entry short,2025-12-30 16:19,Short,9952.2,1,9952.2,1.2,0.01,1.5,0.02,-2,-0.02,43.5,1.74
96,Exit short,2025-12-30 16:30,Exit Short,9952.6,1,9955.8,3.2,0.03,3.5,0.04,-0.4,0.00,46.7,1.87
96,Entry short,2025-12-30 16:30,Short,9955.8,1,9955.8,3.2,0.03,3.5,0.04,-0.4,0.00,46.7,1.87
97,Exit long,2025-12-30 16:35,Exit Long,9949.3,1,9947.8,1.5,0.02,1.8,0.02,-1.7,-0.02,48.2,1.93
97,Entry long,2025-12-30 16:35,Long,9947.8,1,9947.8,1.5,0.02,1.8,0.02,-1.7,-0.02,48.2,1.93
98,Exit long,2025-12-30 16:44,Exit Long,9948,1,9947.3,0.7,0.01,1,0.01,-3.6,-0.04,48.9,1.96
98,Entry long,2025-12-30 16:38,Long,9947.3,1,9947.3,0.7,0.01,1,0.01,-3.6,-0.04,48.9,1.96
99,Exit long,2025-12-30 16:54,Exit Long,9942.5,1,9942.4,0.1,0.00,0.4,0.00,-0.3,0.00,49,1.96
99,Entry long,2025-12-30 16:54,Long,9942.4,1,9942.4,0.1,0.00,0.4,0.00,-0.3,0.00,49,1.96
100,Exit short,2025-12-30 17:43,Exit Short,9946.1,1,9948.3,2.2,0.02,2.5,0.03,0,0.00,51.2,2.05
100,Entry short,2025-12-30 17:42,Short,9948.3,1,9948.3,2.2,0.02,2.5,0.03,0,0.00,51.2,2.05
101,Exit short,2025-12-30 17:59,Exit Short,9949.8,1,9950,0.2,0.00,0.7,0.01,-0.8,-0.01,51.4,2.06
101,Entry short,2025-12-30 17:56,Short,9950,1,9950,0.2,0.00,0.7,0.01,-0.8,-0.01,51.4,2.06
102,Exit short,2025-12-30 18:31,Exit Short,9950.2,1,9950.3,0.1,0.00,0.4,0.00,-4.3,-0.04,51.5,2.06
102,Entry short,2025-12-30 18:18,Short,9950.3,1,9950.3,0.1,0.00,0.4,0.00,-4.3,-0.04,51.5,2.06
103,Exit long,2025-12-30 18:56,Exit Long,9947.8,1,9947.2,0.6,0.01,0.9,0.01,-0.1,0.00,52.1,2.08
103,Entry long,2025-12-30 18:55,Long,9947.2,1,9947.2,0.6,0.01,0.9,0.01,-0.1,0.00,52.1,2.08
104,Exit long,2025-12-30 19:09,Exit Long,9946.5,1,9946.1,0.4,0.00,0.7,0.01,-0.3,0.00,52.5,2.10
104,Entry long,2025-12-30 19:08,Long,9946.1,1,9946.1,0.4,0.00,0.7,0.01,-0.3,0.00,52.5,2.10
105,Exit long,2025-12-30 19:14,Exit Long,9947.3,1,9946.3,1,0.01,1.3,0.01,-1.2,-0.01,53.5,2.14
105,Entry long,2025-12-30 19:12,Long,9946.3,1,9946.3,1,0.01,1.3,0.01,-1.2,-0.01,53.5,2.14
106,Exit long,2025-12-30 19:23,Exit Long,9944.1,1,9943.8,0.3,0.00,0.6,0.01,0,0.00,53.8,2.15
106,Entry long,2025-12-30 19:22,Long,9943.8,1,9943.8,0.3,0.00,0.6,0.01,0,0.00,53.8,2.15
107,Exit short,2025-12-30 20:23,Exit Short,9951.2,1,9951.3,0.1,0.00,0.4,0.00,-0.1,0.00,53.9,2.16
107,Entry short,2025-12-30 20:23,Short,9951.3,1,9951.3,0.1,0.00,0.4,0.00,-0.1,0.00,53.9,2.16
108,Exit short,2025-12-30 20:28,Exit Short,9951.1,1,9951.6,0.5,0.01,0.8,0.01,-0.2,0.00,54.4,2.18
108,Entry short,2025-12-30 20:27,Short,9951.6,1,9951.6,0.5,0.01,0.8,0.01,-0.2,0.00,54.4,2.18
109,Exit short,2025-12-30 20:39,Exit Short,9950.6,1,9952.1,1.5,0.02,1.8,0.02,-0.9,-0.01,55.9,2.24
109,Entry short,2025-12-30 20:36,Short,9952.1,1,9952.1,1.5,0.02,1.8,0.02,-0.9,-0.01,55.9,2.24
110,Exit short,2025-12-30 20:46,Exit Short,9951.1,1,9952.3,1.2,0.01,1.5,0.02,-0.5,-0.01,57.1,2.28
110,Entry short,2025-12-30 20:46,Short,9952.3,1,9952.3,1.2,0.01,1.5,0.02,-0.5,-0.01,57.1,2.28
111,Exit short,2025-12-30 20:50,Exit Short,9951.1,1,9952.6,1.5,0.02,1.8,0.02,0,0.00,58.6,2.34
111,Entry short,2025-12-30 20:50,Short,9952.6,1,9952.6,1.5,0.02,1.8,0.02,0,0.00,58.6,2.34
112,Exit short,2025-12-30 20:57,Exit Short,9949.6,1,9950.3,0.7,0.01,1,0.01,0,0.00,59.3,2.37
112,Entry short,2025-12-30 20:57,Short,9950.3,1,9950.3,0.7,0.01,1,0.01,0,0.00,59.3,2.37
113,Exit short,2025-12-31 01:00,Exit Short,9925.1,1,9939.6,14.5,0.15,14.8,0.15,-2.9,-0.03,73.8,2.95
113,Entry short,2025-12-31 01:00,Short,9939.6,1,9939.6,14.5,0.15,14.8,0.15,-2.9,-0.03,73.8,2.95
114,Exit long,2025-12-31 01:11,Exit Long,9929.3,1,9928.7,0.6,0.01,0.9,0.01,0,0.00,74.4,2.98
114,Entry long,2025-12-31 01:09,Long,9928.7,1,9928.7,0.6,0.01,0.9,0.01,0,0.00,74.4,2.98
115,Exit long,2025-12-31 01:33,Exit Long,9930.8,1,9929.2,1.6,0.02,1.9,0.02,0,0.00,76,3.04
115,Entry long,2025-12-31 01:31,Long,9929.2,1,9929.2,1.6,0.02,1.9,0.02,0,0.00,76,3.04
116,Exit long,2025-12-31 01:52,Safety Net,9933,1,9931.4,1.6,0.02,1.6,0.02,0,0.00,77.6,3.10
116,Entry long,2025-12-31 01:50,Long,9931.4,1,9931.4,1.6,0.02,1.6,0.02,0,0.00,77.6,3.10
117,Exit long,2025-12-31 02:29,Exit Long,9928.3,1,9927.7,0.6,0.01,0.9,0.01,-0.3,0.00,78.2,3.13
117,Entry long,2025-12-31 02:23,Long,9927.7,1,9927.7,0.6,0.01,0.9,0.01,-0.3,0.00,78.2,3.13
118,Exit long,2025-12-31 02:52,Exit Long,9928.8,1,9928.5,0.3,0.00,0.6,0.01,-0.1,0.00,78.5,3.14
118,Entry long,2025-12-31 02:50,Long,9928.5,1,9928.5,0.3,0.00,0.6,0.01,-0.1,0.00,78.5,3.14
119,Exit short,2025-12-31 03:25,Exit Short,9931.7,1,9932.2,0.5,0.01,0.8,0.01,-1.7,-0.02,79,3.16
119,Entry short,2025-12-31 03:04,Short,9932.2,1,9932.2,0.5,0.01,0.8,0.01,-1.7,-0.02,79,3.16
120,Exit short,2025-12-31 05:15,Safety Net,9939,1,9933.9,-5.1,-0.05,0.2,0.00,-7.1,-0.07,73.9,2.96
120,Entry short,2025-12-31 04:16,Short,9933.9,1,9933.9,-5.1,-0.05,0.2,0.00,-7.1,-0.07,73.9,2.96
121,Exit long,2025-12-31 05:44,Exit Long,9937.5,1,9936.4,1.1,0.01,1.4,0.01,0,0.00,75,3.00
121,Entry long,2025-12-31 05:42,Long,9936.4,1,9936.4,1.1,0.01,1.4,0.01,0,0.00,75,3.00
122,Exit short,2025-12-31 05:53,Exit Short,9936.8,1,9936.9,0.1,0.00,0.4,0.00,0,0.00,75.1,3.00
122,Entry short,2025-12-31 05:52,Short,9936.9,1,9936.9,0.1,0.00,0.4,0.00,0,0.00,75.1,3.00
123,Exit long,2025-12-31 06:09,Safety Net,9933.8,1,9933.5,0.3,0.00,0.4,0.00,-0.4,0.00,75.4,3.02
123,Entry long,2025-12-31 06:02,Long,9933.5,1,9933.5,0.3,0.00,0.4,0.00,-0.4,0.00,75.4,3.02
124,Exit short,2025-12-31 06:54,Exit Short,9935.9,1,9936.3,0.4,0.00,0.7,0.01,-0.1,0.00,75.8,3.03
124,Entry short,2025-12-31 06:53,Short,9936.3,1,9936.3,0.4,0.00,0.7,0.01,-0.1,0.00,75.8,3.03
125,Exit long,2025-12-31 07:11,Exit Long,9936,1,9933.3,2.7,0.03,3,0.03,0,0.00,78.5,3.14
125,Entry long,2025-12-31 07:08,Long,9933.3,1,9933.3,2.7,0.03,3,0.03,0,0.00,78.5,3.14
126,Exit short,2025-12-31 07:30,Exit Short,9949.9,1,9951.3,1.4,0.01,1.7,0.02,-0.1,0.00,79.9,3.20
126,Entry short,2025-12-31 07:30,Short,9951.3,1,9951.3,1.4,0.01,1.7,0.02,-0.1,0.00,79.9,3.20
127,Exit short,2025-12-31 07:46,Exit Short,9957.6,1,9957.9,0.3,0.00,0.6,0.01,-2.2,-0.02,80.2,3.21
127,Entry short,2025-12-31 07:37,Short,9957.9,1,9957.9,0.3,0.00,0.6,0.01,-2.2,-0.02,80.2,3.21
128,Exit short,2025-12-31 07:51,Exit Short,9957.6,1,9958.5,0.9,0.01,1.2,0.01,-1.6,-0.02,81.1,3.24
128,Entry short,2025-12-31 07:50,Short,9958.5,1,9958.5,0.9,0.01,1.2,0.01,-1.6,-0.02,81.1,3.24
129,Exit long,2025-12-31 08:30,Exit Long,9927.2,1,9935.4,-8.2,-0.08,0,0.00,-8.2,-0.08,72.9,2.92
129,Entry long,2025-12-31 08:29,Long,9935.4,1,9935.4,-8.2,-0.08,0,0.00,-8.2,-0.08,72.9,2.92
130,Exit long,2025-12-31 08:39,Exit Long,9919.2,1,9927.4,-8.2,-0.08,0.1,0.00,-8.2,-0.08,64.7,2.59
