Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
86,Exit long,2025-12-31 16:21,Safety Net,6874.5,1,6869.5,5,0.07,5,0.07,-1.5,-0.02,12.8,0.51
86,Entry long,2025-12-31 15:59,Long,6869.5,1,6869.5,5,0.07,5,0.07,-1.5,-0.02,12.8,0.51
87,Exit short,2025-12-31 17:09,Safety Net,6873.2,1,6875.7,2.5,0.04,2.5,0.04,-4.3,-0.06,15.3,0.61
87,Entry short,2025-12-31 16:41,Short,6875.7,1,6875.7,2.5,0.04,2.5,0.04,-4.3,-0.06,15.3,0.61
88,Exit long,2025-12-31 18:10,Safety Net,6876.5,1,6873.5,3,0.04,3.5,0.05,-0.5,-0.01,18.3,0.73
88,Entry long,2025-12-31 17:58,Long,6873.5,1,6873.5,3,0.04,3.5,0.05,-0.5,-0.01,18.3,0.73
89,Exit short,2025-12-31 18:55,Exit Short,6886.2,1,6878,-8.2,-0.12,2.3,0.03,-8.2,-0.12,10.1,0.40
89,Entry short,2025-12-31 18:17,Short,6878,1,6878,-8.2,-0.12,2.3,0.03,-8.2,-0.12,10.1,0.40
90,Exit short,2025-12-31 19:17,Safety Net,6882.7,1,6886,3.3,0.05,3.5,0.05,-2.5,-0.04,13.4,0.54
90,Entry short,2025-12-31 18:56,Short,6886,1,6886,3.3,0.05,3.5,0.05,-2.5,-0.04,13.4,0.54
91,Exit long,2026-01-01 23:00,Exit Long,6854.9,1,6870.2,-15.3,-0.22,3.8,0.06,-15.3,-0.22,-1.9,-0.08
91,Entry long,2025-12-31 19:36,Long,6870.2,1,6870.2,-15.3,-0.22,3.8,0.06,-15.3,-0.22,-1.9,-0.08
92,Exit long,2026-01-01 23:11,Safety Net,6855.3,1,6854.3,1,0.01,1.5,0.02,-0.2,0.00,-0.9,-0.04
92,Entry long,2026-01-01 23:07,Long,6854.3,1,6854.3,1,0.01,1.5,0.02,-0.2,0.00,-0.9,-0.04
93,Exit long,2026-01-02 00:19,Safety Net,6855.6,1,6855.3,0.3,0.00,3,0.04,-3.7,-0.05,-0.6,-0.02
93,Entry long,2026-01-01 23:32,Long,6855.3,1,6855.3,0.3,0.00,3,0.04,-3.7,-0.05,-0.6,-0.02
94,Exit short,2026-01-02 00:42,Safety Net,6855.2,1,6857.2,2,0.03,2,0.03,-0.9,-0.01,1.4,0.06
94,Entry short,2026-01-02 00:29,Short,6857.2,1,6857.2,2,0.03,2,0.03,-0.9,-0.01,1.4,0.06
95,Exit short,2026-01-02 01:25,Safety Net,6861.1,1,6856.7,-4.4,-0.06,0,0.00,-7.6,-0.11,-3,-0.12
95,Entry short,2026-01-02 00:56,Short,6856.7,1,6856.7,-4.4,-0.06,0,0.00,-7.6,-0.11,-3,-0.12
96,Exit short,2026-01-02 03:04,Safety Net,6872.3,1,6865.6,-6.7,-0.10,0.5,0.01,-7.7,-0.11,-9.7,-0.39
