time,open,high,low,close,VWAP,VWAP Upper,VWAP Lower,VWAP Upper (2),VWAP Lower (2),VWAP Upper (3),VWAP Lower (3),VWAP Upper (4),VWAP Lower (4),VWAP Upper (5),VWAP Lower (5),Plot,E50,E200,E20,Volume,%D,%D,%D,%D
1765429500,6833,6833.4,6831.1,6831.1,6848.63834707316,6874.832688650379,6822.4440054959405,6889.771649081138,6807.505045065182,6900.003813759739,6797.27288038658,,,,,,6832.822074160586,6832.613637228705,6843.680420269741,62,46.66666666665454,26.66666666665976,58.74999999999394,51.16061228322227
1765429560,6831.1,6831.9,6830.9,6831.4,6848.597330988467,6874.782567816156,6822.412094160777,6889.7163356944475,6807.478326282486,6899.944943830264,6797.24971814667,,,,,,6832.686638526245,6832.566043611892,6843.582568315401,46,31.172839506171183,19.04761904761907,50.4166666666606,48.553774676384
1765429620,6831.6,6831.8,6830.9,6830.9,6848.554615344927,6874.730416004336,6822.378814685518,6889.658802317906,6807.450428371948,6899.8837244504875,6797.225506239366,,,,,,6832.516482476126,6832.500708568289,6843.481511994162,48,6.172839506171177,4.761904761904785,42.08333333332727,45.305911428520034
1765429680,6830.6,6831.1,6829.3,6830,6848.4960859949615,6874.663664217575,6822.328507772348,6889.58736117266,6807.404810817263,6899.809071415869,6797.183100574054,,,,,,6832.2768174784,6832.402641565611,6843.3740895878345,62,11.599196095316819,10.188261351050434,29.16666666665908,41.2375353601428
1765429740,6830.1,6830.6,6829.9,6830.1,6848.433426447978,6874.591740387978,6822.275112507978,6889.510153806884,6807.356699089071,6899.728245189696,6797.138607706259,,,,,,6832.069501528076,6832.312341896371,6843.268319949684,67,11.62790697674369,11.627906976743718,24.999999999992422,37.29736441997117
1765429800,6829.9,6830.1,6829.1,6829.6,6848.382403005676,6874.5352948112195,6822.229511200132,6889.450615919069,6807.314190092283,6899.6665892806095,6797.098216730742,,,,,,6831.834310906354,6832.205975547494,6843.15940903375,53,15.331610680447392,15.33161068044742,17.499999999995453,32.38283450544131
1765429860,6829.9,6830.1,6829.4,6829.6,6848.336798225489,6874.484234737644,6822.189361713333,6889.396444623483,6807.277151827494,6899.610287011044,6797.063309439933,,,,,,6831.621519391463,6832.103780427984,6843.051365933879,48,13.781223083550465,13.60895779500548,12.083333333331822,27.729742499408182
1765429920,6829.8,6830.4,6829.5,6830.1,6848.303107344635,6874.4459603195855,6822.160254369684,6889.355556156863,6807.250658532406,6899.567608100203,6797.038606589066,,,,,,6831.476612782752,6832.025200803358,6842.948167798948,36,15.331610680449854,14.814814814814838,12.500000000000004,23.12944084028313
1765429980,6830.3,6830.9,6829.5,6829.6,6848.271833240184,6874.409814383335,6822.133852097032,6889.316631754039,6807.227034726328,6899.5267806380825,6797.016885842285,,,,,,6831.2978877558235,6831.930094889501,6842.841807896168,34,15.503875968994867,14.814814814814838,10.416666666666671,18.663003663003003
1765430040,6829.5,6829.9,6829.1,6829.1,6848.2432626452255,6874.37813618853,6822.108389101921,6889.283181256195,6807.203344034256,6899.492116234049,6796.994409056402,,,,,,6831.088565112412,6831.819110776187,6842.732311418908,30,11.627906976746152,11.111111111111136,8.333333333333337,13.534798534797398
1765430100,6829.4,6829.6,6828.8,6829.6,6848.199886110551,6874.330827526424,6822.068944694678,6889.233630052664,6807.1661421684385,6899.44102904324,6796.958743177863,,,,,,6830.946797006468,6831.7320868241795,6842.627671487283,45,12.764857881139624,9.259259259260338,9.424603174603808,12.182817182816184
1765430160,6829.9,6830.6,6829.9,6830.4,6848.165426391838,6874.2906385681035,6822.040214215573,6889.190173637379,6807.140679146297,6899.395334643734,6796.935518139942,,,,,,6830.89472110109,6831.679848125192,6842.530239841966,38,32.077294685982615,17.14975845410478,11.607142857141142,11.658341658340692
1765430220,6830.6,6830.9,6830,6830.9,6848.143972651128,6874.265268509149,6822.022676793107,6889.162570053176,6807.12537524908,6899.366201247715,6796.921744054541,,,,,,6830.8952238533675,6831.649265845773,6842.437568608166,24,65.41062801931595,32.36714975845046,17.857142857138733,12.683982683981469
1765430280,6830.6,6830.6,6829.8,6830.1,6848.102418948854,6874.216798837626,6821.988039060083,6889.110156117941,6807.094681779768,6899.311085761993,6796.893752135716,,,,,,6830.819488248285,6831.588510322409,6842.339261288579,46,77.15665976535392,36.23188405796875,23.015873015869467,13.593628593627965
1765430340,6830.3,6830.4,6829.6,6829.9,6848.054247627657,6874.161162825409,6821.947332429905,6889.050262899125,6807.0582323561885,6899.248276648247,6796.860218607067,,,,,,6830.731917938924,6831.522294231334,6842.24014366875,53,71.42857142857555,36.465638148664105,24.206349206342733,14.057609057607394
1765430400,6829.6,6830.1,6828.1,6829.6,6848.001103990389,6874.102938632649,6821.89926934813,6888.989141202063,6807.013066778715,6899.1851703591965,6796.817037621582,,,,,,6830.624116230455,6831.446910143831,6842.139425392505,56,55.95238095238972,34.76176035783261,23.214285714281587,15.559440559438837
1765430460,6829.4,6829.7,6828.9,6829.1,6847.963726078051,6874.061369867105,6821.866082288997,6888.94518234055,6806.982269815552,6899.139574445649,6796.787877710453,,,,,,6830.478962303745,6831.354874451916,6842.035525588581,40,47.22222222222583,36.452581613868816,18.452380952379233,16.34698634698457
1765430520,6828.9,6829.1,6827.5,6827.9,6847.908856943547,6874.003862468638,6821.813851418457,6888.886170307165,6806.931543579929,6899.079531840403,6796.738182046691,,,,,,6830.233346846246,6831.219389179291,6841.9228919185525,56,33.68347338936033,28.546193252073124,14.609440267331452,15.591250854406345
1765430580,6828,6829.1,6827.8,6828.6,6847.850854488552,6873.942294545599,6821.759414431504,6888.822568953134,6806.87914002397,6899.0145377254175,6796.687171251686,,,,,,6830.0777900037465,6831.116668035005,6841.816733417209,60,26.610644257707747,25.816993464053855,13.862781954886982,16.324333561173674
1765430640,6828.8,6829.4,6828.4,6828.4,6847.802960852332,6873.889855594848,6821.716066109816,6888.767537752689,6806.838383951975,6898.9577310114855,6796.648190693179,,,,,,6829.91800047958,6831.0101320336325,6841.709827174841,51,23.529411764704832,23.52941176470483,11.466165413532261,17.50854408748893
1765430700,6828.3,6829.1,6828.1,6828.8,6847.74792716672,6873.830532006573,6821.665322326867,6888.705767579302,6806.7900867541375,6898.89428509487,6796.60156923857,,,,,,6829.81152424343,6830.923460189177,6841.606960026037,58,32.35294117647583,32.35294117647583,12.171052631577766,18.006949191156973
1765430760,6828.6,6828.9,6828.4,6828.4,6847.706495907704,6873.785606194196,6821.627385621213,6888.65884877946,6806.754143035949,6898.846001235121,6796.566990580288,,,,,,6829.677093363103,6830.824500966071,6841.501725284794,44,31.246046805814576,30.392156862742997,13.815789473682951,16.766917293230428
1765430820,6828.6,6828.6,6827.4,6827.4,6847.649336315819,6873.725905107387,6821.572767524251,6888.597698246329,6806.700974385309,6898.783857930535,6796.514814701102,,,,,,6829.460227328522,6830.690206810539,6841.389360939895,59,22.422517394052495,21.568627450980912,10.197368421050347,13.433583959898058
1765430880,6827.5,6827.5,6826.6,6826.9,6847.581708153668,6873.659092556068,6821.504323751268,6888.531350848061,6806.632065459275,6898.717829130248,6796.445587177088,,,,,,6829.2163961543765,6830.541571249341,6841.273907864676,67,12.534562211969591,11.14911080710567,8.119195046436543,11.723033072875499
1765430940,6826.7,6827,6826.1,6826.4,6847.539539830802,6873.6185862628545,6821.460493398749,6888.491792431135,6806.587287230469,6898.678919943656,6796.400159717948,,,,,,6828.948167949197,6830.379156690544,6841.155390670536,41,5.634920634907389,4.408914728672182,4.676212590293778,10.310334660177194
1765431000,6826.1,6827.1,6825.4,6827.1,6847.460708891599,6873.54399528541,6821.377422497788,6888.41961955688,6806.501798226318,6898.608403304463,6796.313014478736,,,,,,6828.7721519540355,6830.250562310523,6841.04339552575,76,19.801587301580117,14.711945031706895,6.097129573476262,9.920054836908296
1765431060,6826.9,6826.9,6825.9,6825.9,6847.4115709911075,6873.496855832449,6821.326286149766,6888.373619843526,6806.449522138689,6898.563184234675,6796.25995774754,,,,,,6828.498613672698,6830.079952023835,6840.922731019569,48,21.11111111111086,15.591491841491061,7.385789367290598,9.006947325862601
1765431120,6826.1,6826.4,6825.4,6825.9,6847.381290651396,6873.468643703593,6821.293937599198,6888.346587241175,6806.415994061616,6898.53695952719,6796.225621775601,,,,,,6828.251126656251,6829.916032336626,6840.803027983557,29,22.500000000006064,16.8414918414958,7.892325315005156,8.996095453915157
1765431180,6825.6,6826.9,6825.6,6826.4,6847.326048121614,6873.415862980905,6821.2362332623225,6888.295210517845,6806.356885725383,6898.486544447255,6796.1655517959725,,,,,,6828.074828879465,6829.778148715582,6840.688262820341,54,17.342342342340572,13.630660120020272,9.83676975945162,8.579654867913586
